id_card,type,name,attack,power,defense,popularity,favorite
1,2,PiJjzqdhe,Eclair,68,25,100,2
2,2,Rataaaaata,Charde,10,25,100,2
3,2,Medusor,Coup de Coude,25,25,100,3
4,2,Pizqdqzdddkache,Eclair,68,25,100,3
5,2,Ratata,Gifle,10,25,100,3
6,2,Medusor,Coup de Menton,2468,25,100,0
7,2,Pikache,Eclair,68,25,100,5
8,2,RaKiataata,Charde,10,25,100,5
9,2,Batata,Coup de Pied,36,25,100,5
10,1,Gama,Eclair,68,25,100,0
12,2,Kokotata,Charde,10,25,100,25
13,2,Medusor,Coup de Tete,5,25,100,25
14,1,Pikache,Eclair,68,25,100,0
