id_card,type,name,attack,power,defense,popularity,favorite
1,2,Jean-Marie Le Pen,,95,25,100,1
2,2,Marie-Christine Arnautu,,10,25,100,1
3,2,Bruno GollnischM. Daniel Paul,Coup de Coude,25,25,100,1
4,2,Mireille D'Ornano,,68,25,100,0
5,2,Dominique Martin,Gifle,10,25,100,0
6,2,Florian Philippot,Coup de Menton,2468,25,100,0
7,2,Sophie Montel,,68,25,100,0
8,2,Jean-François Jalkh,,10,25,100,0
9,2,Dominique Bilde,,50,20,100,0
10,2,Louis Aliot,,80,20,100,0
11,2,Joelle Melin,,50,20,100,0
12,2,Edouard Ferrand,,50,20,100,0
13,2,Aymeric Chauprade,,50,20,100,0
14,2,Marie-Christine Boutonnet,,50,20,100,0
15,2,Jean-Luc Schaffhauser ,,50,20,100,0
16,2,Gilles Lebreton,,50,20,100,0
17,2,Joelle Bergeron,,50,20,100,0
18,2,Marine Le Pen,,50,20,100,0
19,2,Marion marechal Le pen,,50,20,100,0
20,2,Gilbert Collard,,50,20,100,0
20,2,Hitler,,100,20,100,0
21,1,Menace Terroriste,,50,20,100,0
22,1,Menace Islamiste,,50,20,100,0
23,1,Attentat,,50,20,100,0
24,1,Crime,,50,20,100,0
25,1,Populisme,,50,20,100,0
26,1,Denigrement,,50,20,100,0
27,1,Rumeur,,50,20,100,0
