id_card,type,name,attack,power,defense,popularity,favorite
1,2,Cope,Eclair,68,25,100,1
2,2,Sarko,Charde,10,25,100,1
3,2,Dati,Coup de Coude,25,25,100,1
4,2,Bertrand,Eclair,68,25,100,0
5,2,Wauquiez,Gifle,10,25,100,0
6,2,Ciotti,Coup de Menton,2468,25,100,0
7,2,Chirac,Eclair,68,25,100,0
8,2,GrosDidier,10,25,100,0
9,2,Bayrou,Coup de Pied,36,25,100,0
10,2,Hortefeux,Eclair,68,25,100,0
11,2,Pecresse,Charde,10,25,100,0
12,2,NKM,Coup de Tete,5,25,100,0
13,2,Debre,Eclair,68,25,100,0
14,1,Dette,-5% pour opposants,100, 100,100,0
15,1,Remonter,+1% a vos cartes,100, 100,100,0
